ENSMUSG00000000001.4	Gnai3	14679
ENSMUSG00000000003.15	Pbsn	54192
ENSMUSG00000000028.15	Cdc45	12544
ENSMUSG00000000031.16	H19	14955
ENSMUSG00000000037.16	Scml2	107815
ENSMUSG00000000049.11	Apoh	11818
ENSMUSG00000000056.7	Narf	67608
ENSMUSG00000000058.6	Cav2	12390
ENSMUSG00000000078.7	Klf6	23849
ENSMUSG00000000085.16	Scmh1	29871
ENSMUSG00000000088.7	Cox5a	12858
ENSMUSG00000000093.6	Tbx2	21385
ENSMUSG00000000094.12	Tbx4	21387
ENSMUSG00000000103.12	Zfy2	22768
ENSMUSG00000000120.6	Ngfr	18053
ENSMUSG00000000125.5	Wnt3	22415
ENSMUSG00000000126.11	Wnt9a	216795
ENSMUSG00000000127.14	Fer	14158
ENSMUSG00000000131.15	Xpo6	74204
ENSMUSG00000000134.17	Tfe3	209446
ENSMUSG00000000142.15	Axin2	12006
ENSMUSG00000000148.17	Brat1	231841
ENSMUSG00000000149.10	Gna12	14673
ENSMUSG00000000154.16	Slc22a18	18400
ENSMUSG00000000157.15	Itgb2l	16415
ENSMUSG00000000159.15	Igsf5	72058
ENSMUSG00000000167.14	Pih1d2	72614
ENSMUSG00000000168.9	Dlat	235339
ENSMUSG00000000171.5	Sdhd	66925
ENSMUSG00000000182.9	Fgf23	64654
ENSMUSG00000000183.6	Fgf6	14177
ENSMUSG00000000184.12	Ccnd2	12444
ENSMUSG00000000194.13	Gpr107	277463
ENSMUSG00000000197.8	Nalcn	338370
ENSMUSG00000000202.9	Btbd17	72014
ENSMUSG00000000204.16	Slfn4	20558
ENSMUSG00000000214.11	Th	21823
ENSMUSG00000000215.11	Ins2	16334
ENSMUSG00000000216.8	Scnn1g	20278
ENSMUSG00000000223.13	Drp2	13497
ENSMUSG00000000244.17	Tspan32	27027
ENSMUSG00000000247.11	Lhx2	16870
ENSMUSG00000000248.16	Clec2g	70809
ENSMUSG00000000253.13	Gmpr	66355
ENSMUSG00000000263.15	Glra1	14654
ENSMUSG00000000266.11	Mid2	23947
ENSMUSG00000000275.16	Trim25	217069
ENSMUSG00000000276.11	Dgke	56077
ENSMUSG00000000278.10	Scpep1	74617
ENSMUSG00000000282.12	Mnt	17428
ENSMUSG00000000290.13	Itgb2	16414
ENSMUSG00000000295.13	Hddc2	69692
ENSMUSG00000000296.8	Tpd52l1	21987
ENSMUSG00000000301.16	Pemt	18618
ENSMUSG00000000303.12	Cdh1	12550
ENSMUSG00000000305.12	Cdh4	12561
ENSMUSG00000000308.14	Ckmt1	12716
ENSMUSG00000000317.11	Bcl6b	12029
ENSMUSG00000000318.16	Clec10a	17312
ENSMUSG00000000320.10	Alox12	11684
ENSMUSG00000000325.16	Arvcf	11877
ENSMUSG00000000326.13	Comt	12846
ENSMUSG00000000339.14	Rtca	66368
ENSMUSG00000000340.10	Dbt	13171
ENSMUSG00000000346.9	Dazap2	23994
ENSMUSG00000000355.13	Mcts1	68995
ENSMUSG00000000359.3	Rem1	19700
ENSMUSG00000000365.9	Rnf17	30054
ENSMUSG00000000374.8	Trappc10	216131
ENSMUSG00000000378.15	Ccm2	216527
ENSMUSG00000000381.10	Wap	22373
ENSMUSG00000000384.15	Tbrg4	21379
ENSMUSG00000000385.8	Tmprss2	50528
ENSMUSG00000000386.15	Mx1	17857
ENSMUSG00000000392.17	Fap	14089
ENSMUSG00000000394.15	Gcg	14526
ENSMUSG00000000399.10	Ndufa9	66108
ENSMUSG00000000402.2	Egfl6	54156
ENSMUSG00000000409.14	Lck	16818
ENSMUSG00000000411.7	Tssk3	58864
ENSMUSG00000000416.16	Cttnbp2	30785
ENSMUSG00000000420.15	Galnt1	14423
ENSMUSG00000000435.1	Myf5	17877
ENSMUSG00000000439.9	Mkrn2	67027
ENSMUSG00000000440.12	Pparg	19016
ENSMUSG00000000441.17	Raf1	110157
ENSMUSG00000000486.13	Sept1	54204
ENSMUSG00000000489.7	Pdgfb	18591
ENSMUSG00000000530.16	Acvrl1	11482
ENSMUSG00000000531.5	Grasp	56149
ENSMUSG00000000532.11	Acvr1b	11479
ENSMUSG00000000538.18	Tom1l2	216810
ENSMUSG00000000544.14	Gpa33	59290
ENSMUSG00000000552.10	Zfp385a	29813
ENSMUSG00000000555.8	Itga5	16402
ENSMUSG00000000560.9	Gabra2	14395
ENSMUSG00000000561.14	Wdr77	70465
ENSMUSG00000000562.5	Adora3	11542
ENSMUSG00000000563.17	Atp5f1	11950
ENSMUSG00000000567.5	Sox9	20682
ENSMUSG00000000568.15	Hnrnpd	11991
ENSMUSG00000000579.14	Dynlt1c	100040563
ENSMUSG00000000581.8	C1d	57316
ENSMUSG00000000594.7	Gm2a	14667
ENSMUSG00000000600.15	Krit1	79264
ENSMUSG00000000605.9	Clcn4	12727
ENSMUSG00000000606.16	Vmn2r88	669149
ENSMUSG00000000617.14	Grm6	108072
ENSMUSG00000000627.15	Sema4f	20355
ENSMUSG00000000628.10	Hk2	15277
ENSMUSG00000000631.20	Myo18a	360013
ENSMUSG00000000632.13	Sez6	20370
ENSMUSG00000000673.8	Haao	107766
ENSMUSG00000000682.7	Cd52	23833
ENSMUSG00000000686.11	Abhd15	67477
ENSMUSG00000000690.5	Hoxb6	15414
ENSMUSG00000000693.10	Loxl3	16950
ENSMUSG00000000701.8	Tclb5	27382
ENSMUSG00000000706.16	Btn1a1	12231
ENSMUSG00000000708.14	Kat2b	18519
ENSMUSG00000000711.3	Rab5b	19344
ENSMUSG00000000724.10	Cryba1	12957
ENSMUSG00000000730.13	Dnmt3l	54427
ENSMUSG00000000731.15	Aire	11634
ENSMUSG00000000732.9	Icosl	50723
ENSMUSG00000000738.18	Spg7	234847
ENSMUSG00000000739.14	Sult5a1	57429
ENSMUSG00000000740.12	Rpl13	270106
ENSMUSG00000000743.9	Chmp1a	234852
ENSMUSG00000000751.13	Rpa1	68275
ENSMUSG00000000753.15	Serpinf1	20317
ENSMUSG00000000759.14	Tubgcp3	259279
ENSMUSG00000000766.18	Oprm1	18390
ENSMUSG00000000776.13	Polr3d	67065
ENSMUSG00000000782.15	Tcf7	21414
ENSMUSG00000000787.12	Ddx3x	13205
ENSMUSG00000000791.9	Il12rb1	16161
ENSMUSG00000000792.2	Slc5a5	114479
ENSMUSG00000000794.9	Kcnn3	140493
ENSMUSG00000000804.14	Usp32	237898
ENSMUSG00000000805.18	Car4	12351
ENSMUSG00000000811.13	Txnrd3	232223
ENSMUSG00000000817.10	Fasl	14103
ENSMUSG00000000823.16	Zfp512b	269401
ENSMUSG00000000826.16	Dnajc5	13002
ENSMUSG00000000827.18	Tpd52l2	66314
ENSMUSG00000000838.17	Fmr1	14265
ENSMUSG00000000861.15	Bcl11a	14025
ENSMUSG00000000869.12	Il4	16189
ENSMUSG00000000876.11	Pxmp4	59038
ENSMUSG00000000881.12	Dlg3	53310
ENSMUSG00000000884.17	Gnb1l	13972
ENSMUSG00000000889.8	Dbh	13166
ENSMUSG00000000901.17	Mmp11	17385
ENSMUSG00000000902.13	Smarcb1	20587
ENSMUSG00000000903.3	Vpreb3	22364
ENSMUSG00000000915.15	Hip1r	29816
ENSMUSG00000000916.15	Nsun5	100609
ENSMUSG00000000934.9	Top1mt	72960
ENSMUSG00000000938.11	Hoxa10	15395
ENSMUSG00000000942.10	Hoxa4	15401
ENSMUSG00000000948.16	RP24-177J9.4	NONE
ENSMUSG00000000957.11	Mmp14	17387
ENSMUSG00000000958.10	Slc7a7	20540
ENSMUSG00000000959.7	Oxa1l	69089
ENSMUSG00000000976.13	Heatr6	217026
ENSMUSG00000000982.5	Ccl3	20302
ENSMUSG00000000983.13	Wfdc18	14038
ENSMUSG00000001014.6	Icam4	78369
ENSMUSG00000001016.12	Ilf2	67781
ENSMUSG00000001017.15	Chtop	66511
ENSMUSG00000001018.15	Snapin	20615
ENSMUSG00000001020.8	S100a4	20198
ENSMUSG00000001021.12	S100a3	20197
ENSMUSG00000001023.10	S100a5	20199
ENSMUSG00000001025.8	S100a6	20200
ENSMUSG00000001027.7	Scn4a	110880
ENSMUSG00000001029.15	Icam2	15896
ENSMUSG00000001034.17	Mapk7	23939
ENSMUSG00000001036.17	Epn2	13855
ENSMUSG00000001039.12	B9d1	27078
ENSMUSG00000001052.15	Sec24b	99683
ENSMUSG00000001053.15	N4bp3	212706
ENSMUSG00000001054.9	Rmnd5b	66089
ENSMUSG00000001056.3	Nhp2	52530
ENSMUSG00000001062.18	Vps9d1	72325
ENSMUSG00000001065.15	Zfp276	57247
ENSMUSG00000001076.7	C1ql4	239659
ENSMUSG00000001082.12	Mfsd10	68294
ENSMUSG00000001089.14	Luzp1	269593
ENSMUSG00000001095.5	Slc13a2	20500
ENSMUSG00000001098.15	Kctd10	330171
ENSMUSG00000001100.10	Poldip2	67811
ENSMUSG00000001103.7	Sebox	18292
ENSMUSG00000001105.15	Ift20	55978
ENSMUSG00000001119.7	Col6a1	12833
ENSMUSG00000001120.15	Pcbp3	59093
ENSMUSG00000001123.15	Lgals9	16859
ENSMUSG00000001127.12	Araf	11836
ENSMUSG00000001128.7	Cfp	18636
ENSMUSG00000001131.11	Timp1	21857
ENSMUSG00000001134.9	Uxt	22294
ENSMUSG00000001138.13	Cnnm3	94218
ENSMUSG00000001143.13	Lman2l	214895
ENSMUSG00000001150.7	Mcm3ap	54387
ENSMUSG00000001151.10	Pcnt	18541
ENSMUSG00000001155.13	Ftcd	14317
ENSMUSG00000001156.9	Mxd1	17119
ENSMUSG00000001157.13	Gmcl1	23885
ENSMUSG00000001158.13	Snrnp27	66618
ENSMUSG00000001166.17	Oas1c	114643
ENSMUSG00000001168.16	Oas1h	246729
ENSMUSG00000001173.15	Ocrl	320634
ENSMUSG00000001175.14	Calm1	12313
ENSMUSG00000001211.15	Agpat3	28169
ENSMUSG00000001225.12	Slc26a3	13487
ENSMUSG00000001227.11	Sema6b	20359
ENSMUSG00000001228.14	Uhrf1	18140
ENSMUSG00000001229.8	Dpp9	224897
ENSMUSG00000001240.13	Ramp2	54409
ENSMUSG00000001247.16	Lsr	54135
ENSMUSG00000001248.15	Gramd1a	52857
ENSMUSG00000001249.14	Hpn	15451
ENSMUSG00000001260.10	Gabrg1	14405
ENSMUSG00000001270.9	Ckb	12709
ENSMUSG00000001280.13	Sp1	20683
ENSMUSG00000001281.10	Itgb7	16421
ENSMUSG00000001285.12	Myg1	60315
ENSMUSG00000001288.15	Rarg	19411
ENSMUSG00000001289.12	Pfdn5	56612
ENSMUSG00000001300.16	Efnb2	13642
ENSMUSG00000001305.5	Rrp15	67223
ENSMUSG00000001313.12	Rnd2	11858
ENSMUSG00000001323.17	Srr	27364
ENSMUSG00000001333.9	Sync	68828
ENSMUSG00000001334.9	Fndc5	384061
ENSMUSG00000001348.15	Acp5	11433
ENSMUSG00000001349.5	Cnn1	12797
ENSMUSG00000001366.14	Fbxo9	71538
ENSMUSG00000001376.17	Vps50	73288
ENSMUSG00000001380.6	Hars	15115
ENSMUSG00000001383.8	Zmat2	66492
ENSMUSG00000001403.13	Ube2c	68612
ENSMUSG00000001415.10	Smg5	229512
ENSMUSG00000001416.13	Cct3	12462
ENSMUSG00000001418.13	Glmp	56700
ENSMUSG00000001419.17	Mef2d	17261
ENSMUSG00000001420.13	Tmem79	71913
ENSMUSG00000001424.14	Snd1	56463
ENSMUSG00000001435.15	Col18a1	12822
ENSMUSG00000001436.15	Slc19a1	20509
ENSMUSG00000001440.5	Kpnb1	16211
ENSMUSG00000001441.13	Npepps	19155
ENSMUSG00000001444.2	Tbx21	57765
ENSMUSG00000001445.10	Mrpl10	107732
ENSMUSG00000001467.5	Cyp51	13121
ENSMUSG00000001472.17	Tcf25	66855
ENSMUSG00000001473.6	Tubb6	67951
ENSMUSG00000001482.15	Def8	23854
ENSMUSG00000001493.9	Meox1	17285
ENSMUSG00000001494.6	Sost	74499
ENSMUSG00000001496.15	Nkx2-1	21869
ENSMUSG00000001497.18	Pax9	18511
ENSMUSG00000001504.10	Irx2	16372
ENSMUSG00000001506.10	Col1a1	12842
ENSMUSG00000001507.16	Itga3	16400
ENSMUSG00000001508.15	Sgca	20391
ENSMUSG00000001510.8	Dlx3	13393
ENSMUSG00000001517.14	Foxm1	14235
ENSMUSG00000001518.12	Itfg2	101142
ENSMUSG00000001520.12	Nrip2	60345
ENSMUSG00000001521.12	Tulp3	22158
ENSMUSG00000001524.14	Gtf2h4	14885
ENSMUSG00000001525.10	Tubb5	22154
ENSMUSG00000001542.7	Ell2	192657
ENSMUSG00000001552.14	Jup	16480
ENSMUSG00000001555.10	Fkbp10	14230
ENSMUSG00000001558.5	Klhl10	66720
ENSMUSG00000001566.9	Mnx1	15285
ENSMUSG00000001569.10	Nom1	433864
ENSMUSG00000001576.14	Ergic1	67458
ENSMUSG00000001583.13	Tnk1	83813
ENSMUSG00000001588.12	Acap1	216859
ENSMUSG00000001604.14	Tcea3	21401
ENSMUSG00000001622.15	Csn3	12994
ENSMUSG00000001627.12	Ifrd1	15982
